snapshot_date,firebaseid,article_id,page_duration
2021-09-02,9cjQX3oHf7Zfmwlb5eomKxMk9dn2,f99d37e9-29a9-4d71-875b-bdc70bf564df,33
2021-09-04,aeHk1UDlN8bla5qQklLqCkuUG3I2,a44ace79-667d-42de-94c7-9555c550104f,41
2021-09-04,vfNPVsHDbYUYtjwtk3vpRTaIE4Y2,a44ace79-667d-42de-94c7-9555c550104f,29
2021-09-03,26J4HhQbasXKuJGA2ZeaLWUD9ql2,a44ace79-667d-42de-94c7-9555c550104f,56
2021-09-30,9cjQX3oHf7Zfmwlb5eomKxMk9dn2,a558a820-9e29-4b5c-b030-29349d6202c3,398
2021-09-23,vfNPVsHDbYUYtjwtk3vpRTaIE4Y2,c2837fa3-35c8-4e71-838f-1ef317ba9905,53
2021-09-21,9cjQX3oHf7Zfmwlb5eomKxMk9dn2,20cd05a0-7dc8-4c97-8a3a-b4cae4420c4c,74
2021-09-11,9cjQX3oHf7Zfmwlb5eomKxMk9dn2,12134900-6e56-4172-9f65-686dce4b2f0a,28
2021-09-06,aeHk1UDlN8bla5qQklLqCkuUG3I2,7e40c924-9250-423c-9098-c87408385187,70
2021-09-06,aeHk1UDlN8bla5qQklLqCkuUG3I2,4cb14705-9452-4cc2-8670-e1500a283d8b,0
2021-09-06,aeHk1UDlN8bla5qQklLqCkuUG3I2,4cb14705-9452-4cc2-8670-e1500a283d8b,115
2021-09-12,NO7NAN8h6zYImMiaCYwhpeIj3qP2,39f9cc70-2777-42da-890d-5b2364c075fd,15
2021-09-11,9cjQX3oHf7Zfmwlb5eomKxMk9dn2,39f9cc70-2777-42da-890d-5b2364c075fd,39
2021-09-11,26J4HhQbasXKuJGA2ZeaLWUD9ql2,39f9cc70-2777-42da-890d-5b2364c075fd,30
2021-09-11,26J4HhQbasXKuJGA2ZeaLWUD9ql2,39f9cc70-2777-42da-890d-5b2364c075fd,12
2021-09-11,26J4HhQbasXKuJGA2ZeaLWUD9ql2,39f9cc70-2777-42da-890d-5b2364c075fd,13
2021-09-11,26J4HhQbasXKuJGA2ZeaLWUD9ql2,39f9cc70-2777-42da-890d-5b2364c075fd,1
2021-09-21,NO7NAN8h6zYImMiaCYwhpeIj3qP2,154e1780-69cc-4284-b4ec-4feefcd8c107,33
2021-09-20,vfNPVsHDbYUYtjwtk3vpRTaIE4Y2,154e1780-69cc-4284-b4ec-4feefcd8c107,85
2021-09-20,NO7NAN8h6zYImMiaCYwhpeIj3qP2,154e1780-69cc-4284-b4ec-4feefcd8c107,29
2021-09-20,26J4HhQbasXKuJGA2ZeaLWUD9ql2,154e1780-69cc-4284-b4ec-4feefcd8c107,23
2021-09-23,NO7NAN8h6zYImMiaCYwhpeIj3qP2,1508a16d-dc43-4165-9708-1dd2de235df9,18
2021-09-23,26J4HhQbasXKuJGA2ZeaLWUD9ql2,1508a16d-dc43-4165-9708-1dd2de235df9,125
