e7segment,firebaseid,article_cluster,top_keywords,article_count,articles_read,page_duration
2. Low Score,9clD3bv1JnSiKn62WXMlDgcPUkz1,10684,"uk, sa, travel, red list, covid19, quarantine, govt, ramaphosa",19,1,58
2. Low Score,HgJGe3qwq1ZgndXGJRwlEKeCY793,10128,"arrested, police, man, durban, found, court, cops, kwazulunatal",60,1,676
2. Low Score,HaCluLXvY7RcI6fU6dpPkAz64Qd2,10772,"cape town, death, residents, man, kzn, hospital, students, woman",43,5,8.6
2. Low Score,lJOGAEBWG3MTbL6FMKuv0BfS4EI3,10772,"cape town, death, residents, man, kzn, hospital, students, woman",43,1,125
2. Low Score,HlEpoN7pxmRs3DgHOGYvXDHhe9v2,8944,"city power, eskom, hiding, r500k, board, fees, eskom files, city",2,1,480
1. Very Low Score,HIBgiKg0gYe8WIsQMGlWTeKiHVy2,10973,"royal, ethekwini, sponsorship, vanity, project, party, come, end",3,1,73
4. Good User,h9GWxdtUeRYBDbutVo8VkNqVm5P2,11112,"ahmed timol, judge, officially, strikes, case, death, court, roll",1,1,14
2. Low Score,omCQ4gMTmQfv1JpjbO9Do17bbTc2,11567,"boity, bujy, assault, audio, bujy bikwa, media, personality, bail",5,1,8
2. Low Score,SLy5zrGEM7R5yLfFaIWl1ncHmPk1,11567,"boity, bujy, assault, audio, bujy bikwa, media, personality, bail",5,1,2
1. Very Low Score,Vla2mTgg8gXjpZAqHYaCUh78RrE3,10685,"elections 2021, anc, manifesto, ifp, eff, da, ramaphosa, promises",75,7,137.57
2. Low Score,In8WQ2BLvgZSSpuJ18N5jbCZpD22,10685,"elections 2021, anc, manifesto, ifp, eff, da, ramaphosa, promises",75,3,621.67
3. Normal User,LsC0yVKSrEa7mnzOb2JmAF5RRpi1,11284,"killed, kzn, man, police, pietermaritzburg, shot, found, shooting",74,2,450
1. Very Low Score,fRzVJBf2omaCbqFEVu1biFBJhEb2,11284,"killed, kzn, man, police, pietermaritzburg, shot, found, shooting",74,2,59
1. Very Low Score,mNrsabelyaMpy0bRcusjjCSO1233,24,"covid19, new, cases, deaths, records, south africa, sa, infections",198,2,0
1. Very Low Score,kj90zpD7gIcov9Pq50ul3bvcWdG3,24,"covid19, new, cases, deaths, records, south africa, sa, infections",198,1,0
1. Very Low Score,nK5zFvSEsvgxY7aXYgZkYXfMf8g1,24,"covid19, new, cases, deaths, records, south africa, sa, infections",198,1,57
2. Low Score,QhXz9eJBThSxe4Uf7vONt0QaO802,11263,"kzn, water, msunduzi, residents, r15m, municipality, sports, field",50,1,33
2. Low Score,gacAWI2u0IZJrCqG0UE2nO3hMSQ2,10688,"pay, companies, post office, letters, class action, sa, sham, loan",30,1,71
3. Normal User,090RSvwmYSdjTMB7fRwTk9q2wv12,11409,"watch, cardi b, opens, delivering, newborn, accused, surgery, snap",4,1,12
1. Very Low Score,lGkJUk26jZdlKX9SVtZFtZq928y1,10681,"babita deokaran, exclusive, killer, government, day, job, got, paid",2,1,0
2. Low Score,u4CmjM1TOicKgvxk2maMwPp1Tqz2,11225,"believe, it, university, pretoria, student, submits, master, thesis",1,1,76
1. Very Low Score,y7XI7i2OgPZv8eEDcIq8EWe84l92,8924,"zuma, parole, medical, da, board, arthur fraser, questions, experts",34,3,463.67
2. Low Score,ZdacscljhvYYCNJC5WbJMTLMqKw1,11391,"unlawful, cape town, bylaw, golf, courses, housing, western cape, da",9,1,10
4. Good User,r99H862m8QfFotfh5fvKKsY2jes1,11391,"unlawful, cape town, bylaw, golf, courses, housing, western cape, da",9,1,105
1. Very Low Score,wlqyrzqvxiXHxA9SWPf6QnbSDON2,10065,"blitzboks, sevens, overpower, mexico, vancouver, opener, clean, sweep",2,2,7.5
2. Low Score,NvzUVMjt8ccSPjpJjinQK0woHOX2,10826,"opinion, letters, warren, fernandez, covid19, crisis, points, climate",13,2,900
2. Low Score,26VRLnLR85RaxgMl1aN2Q4Dy3rM2,10724,"sa, businesses, opinion, women, digital, new, programme, south africa",32,1,179
2. Low Score,KytMvHXsTYY9jisfUHI6P1TCq4k2,10724,"sa, businesses, opinion, women, digital, new, programme, south africa",32,1,900
1. Very Low Score,u69oqvTbqCPn0kFh7mCgRj8sov72,10724,"sa, businesses, opinion, women, digital, new, programme, south africa",32,1,73
2. Low Score,gL7JxfMcsbdw3qGAh0XtgL1R0Hg1,11654,"apple, juice, recalls, amid, concerns, woolworths, products, mycotoxin",4,2,0
2. Low Score,47sC7g3U8JYq9JIWMvG2LTc3v1M2,11654,"apple, juice, recalls, amid, concerns, woolworths, products, mycotoxin",4,1,3
2. Low Score,aajbXJKI2kN7Zza8ZN4XUjT9jrg1,11247,"eskom, load shedding, stage, severe, de, ruyter, eskom files, treasury",10,1,122
2. Low Score,Ijz5NNVC8BfRfpnjzqKsVhcIJdG2,11247,"eskom, load shedding, stage, severe, de, ruyter, eskom files, treasury",10,1,98
2. Low Score,mcJ80vzpEbOK9uOdw92W3gRjknT2,11247,"eskom, load shedding, stage, severe, de, ruyter, eskom files, treasury",10,1,24
2. Low Score,ZSNV7pIWHZZVpV6vBK9px663r453,11247,"eskom, load shedding, stage, severe, de, ruyter, eskom files, treasury",10,1,17
2. Low Score,iJLcVfHLW5PLCWfCFl8NFBVoqm43,9566,"inge lotz, podcast, story, miscarriage, justice, episode, fred, murder",10,2,453.5
2. Low Score,9bBoOXpXJvQFD1y7QzlPq2goGIu2,9566,"inge lotz, podcast, story, miscarriage, justice, episode, fred, murder",10,1,900
4. Good User,HV4lKVkqkHWVkHNoTT4geInbxwQ2,11301,"siya kolisi, rugby, family, rise, book extract, recalls, smoking, weed",14,1,7
4. Good User,bb2E0yVTPcOyJR6j71rKDu2lmFk1,10164,"win, community, library, barbara masekela, poli, theatre, takes, model",34,1,6
2. Low Score,RMS3jpZF9Se3qugEvFUajF6YJw63,6,"opinion, sa, anc, women, south africa, ramaphosa, human rights, covid19",460,1,7
2. Low Score,q0eZ0CSBYxev49eOwIe4DrVbPe92,9914,"springboks, boks, hooper, wallabies, history, springbok, wounded, rugby",14,2,4.5
1. Very Low Score,IDjSPoT5GSZqT6K64DGEOdlxFUx2,10305,"britney spears, netflix, britney, vs, spears, instagram, sharing, photos",5,1,8
1. Very Low Score,FNa1yfh60ARDCIDZDqkEiXEDlF22,10066,"jolidee matongo, it, hard, comprehend, tragedy, ramaphosa, pays, tribute",1,1,1
2. Low Score,WrQHmKleJiektENE8N470Y7YTF63,10066,"jolidee matongo, it, hard, comprehend, tragedy, ramaphosa, pays, tribute",1,1,900
1. Very Low Score,2JJAOJhLMNMJg192S4r2Xx8FuGk1,10939,"kuben moodley, gupta, fixer, dubai, middleman, guptalinked, firms, dodgy",4,1,0
2. Low Score,jxY9hP2pmuYfdmkTmo8ez90oAoy1,9603,"anc, iec, elections 2021, court, magashule, suspension, battle, dismissed",17,1,900
2. Low Score,3VNXNrK6HoMjK8UzGBysT4YthNd2,10143,"blitzboks, team, canada, vancouver sevens, cruise, title, powell, praises",6,1,20
1. Very Low Score,8d1nzdNXoURR7mERlFdpTjQEeyE3,10238,"hlophe, gauteng, judges, impeachment, case, concourt, legal action, wants",7,1,68
2. Low Score,r0HmzVrFD2gtTCf4kMW4bcbyAt73,10124,"pietermaritzburg, residents, city, park, ramaphosa, mountain, rise, stand",41,1,0
2. Low Score,2r8i6m4tihXSEvzukF0dGXncESJ3,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,1,302
1. Very Low Score,i7ozU6EvWJTSzPjfgQvxBhbxTGq2,10994,"mxolisi dukwana, free state, free, state, fired, ace magashule, years, ace",2,1,5
3. Normal User,AzVLMN4rosbgYLJ2TKcFUPcwIN23,9614,"remake, film festival, french, abortion, film, wins, femalefocused, venice",7,1,1
4. Good User,GAonyAOrx4VizOQIs3fvTnzX3zC2,8938,"sharks, bulls, currie cup final, springboks, bok, rugby, wallabies, loftus",50,1,191
3. Normal User,SL45qAJxknOFhNj8PqSWKC57pzw1,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,2,1
2. Low Score,QASeeyb0GKOVYlz2DtePoc54JL93,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,2,175
2. Low Score,fUf6cA0OZbhn3WxN7BE7pssmY6x1,11246,"anc, da, elections 2021, election, posters, phoenix, municipality, candidate",96,1,0
4. Good User,V5Jx5iyS2MS4YkparedYG2Ymwqw1,11246,"anc, da, elections 2021, election, posters, phoenix, municipality, candidate",96,1,7
4. Good User,jH9CLIJjnzUDjmNDUYuZTgtk9Bl2,11568,"khehla sitole, suspension, notice, cop, served, report, presidency, confirms",4,1,5
2. Low Score,x2N2FS16GBV23Qug30da2sYGsI62,10112,"elections 2021, anc, da, candidate, registration, iec, councillor, candidates",73,3,43.33
2. Low Score,AB4iAzfhyXeEyQjC7yB3qcDIzAg2,11251,"jsc, candidate, judge, chief justice, concourt, high court, white, candidates",35,3,83
2. Low Score,ifu7RmV845Qpl3Tguq5fYANxKs62,11251,"jsc, candidate, judge, chief justice, concourt, high court, white, candidates",35,1,335
2. Low Score,Tudaq4JJn5eXfSlJcMiKoHrMQII3,11251,"jsc, candidate, judge, chief justice, concourt, high court, white, candidates",35,1,1
2. Low Score,X2MTefDHxwbvgwS7Y9eqtaBlN4k2,11251,"jsc, candidate, judge, chief justice, concourt, high court, white, candidates",35,1,63
3. Normal User,zxsSsmcPvifSRIglXTpLQdTw0gW2,11251,"jsc, candidate, judge, chief justice, concourt, high court, white, candidates",35,4,170.5
4. Good User,HOvvSN4AqDPXSBSTNlpasYLJOol1,9535,"kzn, municipality, residents, msunduzi, coast, power, offices, infrastructure",33,1,2
2. Low Score,beYx6jKF4zQjFdsaNthE5ClOnVC2,8922,"iec, registration, parties, candidate, elections 2021, da, elections, analysis",38,1,61
1. Very Low Score,adiPxtxQcGQ59zuah64hqUtgMFz1,9574,"cabinet, retirement, public, basic income grant, new, govt, mpumelelo, mkhabela",14,1,2
2. Low Score,05MYNdt9lWXfMOxoX78DZuG1slD2,11282,"facebook, outage, instagram, whatsapp, whistleblower, social media, hit, global",35,2,489
1. Very Low Score,UBPUXFSu3ZbazNbRIM3zsRXY6rk1,10765,"fathers, babies, child, home affairs, unmarried, register, mothers, involvement",4,1,27
1. Very Low Score,HbnW6lvLUKZSuO6JiIQhHU54bG63,10199,"patient, kimberley, hospital, arrested, stabbing, doctors, water shortages, sahrc",3,1,13
2. Low Score,GhgnHW6jNjfyuc4KGHhZlslKpDo1,69,"anc, da, iec, elections, local government elections, political, ramaphosa, parties",274,1,429
3. Normal User,3NNXsIV34JedHw3LbzYMZI7TH8m1,11025,"gateway, robbery, shopping centre, watch, security guard, shot, dramatic, jewellery",5,1,83
2. Low Score,u9yA5Ifv0Ga4RzXSRuOygriy8lu1,11088,"princess charlene, sa, prince albert, sharon stone, attends, bond, premiere, sharon",2,1,63
2. Low Score,ymdbFLIKQZg7E28D91D67D6eyDg1,10856,"public protector, mkhwebane, withdraws, opposition, zille, colonialism, tweet, report",8,2,80.5
1. Very Low Score,keeooaGhc8TB2HbSEZoyNhRRZxw1,8359,"babita deokaran, deokaran, murder, whistleblower, babita, whistleblowers, state, appear",18,1,109
2. Low Score,NThEEgAob3cjN55eht9jIoJ0JZG3,7706,"pools, t20, cricket sa, confirmed, provincial, knockout, competition, cricket south africa",2,1,64
2. Low Score,dENDQ0KjvTPDGTNOh755e0xhELh2,10516,"king, misuzulu kazwelithini, buthelezi, rubbishes, claims, poisoned, zulu royal family, seeking",5,2,411
2. Low Score,eRvMyfl0yyd8S4bFg4kxaruwy802,10516,"king, misuzulu kazwelithini, buthelezi, rubbishes, claims, poisoned, zulu royal family, seeking",5,2,67
2. Low Score,gA3GcXErB6g6hX4aoWZnFvFNZvi2,10516,"king, misuzulu kazwelithini, buthelezi, rubbishes, claims, poisoned, zulu royal family, seeking",5,1,900
1. Very Low Score,nBqavDawcsbqY6VcAeo2lXegVSr2,9635,"tobacco, johann van loggerenberg, sabotage, bribes, time, probe, claims, british american tobacco",5,2,120
2. Low Score,X2MTefDHxwbvgwS7Y9eqtaBlN4k2,10081,"kaizer, jr, gets, hitched",1,1,63
1. Very Low Score,keeooaGhc8TB2HbSEZoyNhRRZxw1,10905,"nedbank, chair, naidoo, died",1,1,58
2. Low Score,okwV0HC6O4NA8c11XIVzw5cIyTQ2,10905,"nedbank, chair, naidoo, died",1,2,468.5
2. Low Score,198Di9nOikahnc8IWp4tmEDeHK72,10501,"gravel, road, tarred, decades",1,1,900
1. Very Low Score,HIBgiKg0gYe8WIsQMGlWTeKiHVy2,11215,"sars, goes, euphonik, million",1,1,32
2. Low Score,wzlASwyKtHMwUYbh0esz4WRX4Cm2,10857,"youtuber, mel, thompson, dies",1,1,900
3. Normal User,MC6eYPQAZMPfSY6YcIPaWglgAPU2,9824,"joburg, waterfall, city, bigger",1,1,862
1. Very Low Score,adiPxtxQcGQ59zuah64hqUtgMFz1,9483,"currie cup final, ft, bulls, sharks",1,1,2
2. Low Score,LVJOG4qOdhPFbt2eFLWHzCcISk23,11365,"pain, pumps, diesel, users, october",1,1,900
2. Low Score,MuT3658Y8MaykQ60pXjilVrj24A3,11708,"survival, mango, questions, answers",1,1,24
1. Very Low Score,fRzVJBf2omaCbqFEVu1biFBJhEb2,10069,"500, army, vehicles, destroyed, fire",1,1,430
1. Very Low Score,HbnW6lvLUKZSuO6JiIQhHU54bG63,10242,"mining, exec, shot, johannesburg, home",1,1,1
1. Very Low Score,mNrsabelyaMpy0bRcusjjCSO1233,10242,"mining, exec, shot, johannesburg, home",1,1,36
1. Very Low Score,CmVJYOol6feqImlQoALw1wPfrhg1,8786,"car, selling, motus, avoid, sale, scams",2,1,155
2. Low Score,05MYNdt9lWXfMOxoX78DZuG1slD2,10677,"sued, bride, kicking, bridal, party, cut, hair",1,1,752
2. Low Score,YA7zyT6a7mOl5XjgPOJ6N7jeYk42,11474,"jeremy vearey, key, fix, police, leadership, cop",1,1,263
4. Good User,QiSTdc9NX6bnUxxOhrssox5mjGS2,11315,"bulls, urc, sharks, stormers, lions, sa, win, ref",25,2,453.5
2. Low Score,dENDQ0KjvTPDGTNOh755e0xhELh2,10697,"uk, crisis, fuel, pumps, dry, british, offer, 500",15,1,900
3. Normal User,LsC0yVKSrEa7mnzOb2JmAF5RRpi1,10697,"uk, crisis, fuel, pumps, dry, british, offer, 500",15,1,900
3. Normal User,y0HR72BvtFP3KKC8g21Q20ZPDaa2,11455,"coal, eskom, power, sa, mantashe, clean, war, pits",8,1,144
2. Low Score,3JptNaGHEAaYtiSNcCMlhHugAoX2,11455,"coal, eskom, power, sa, mantashe, clean, war, pits",8,1,53
2. Low Score,GjmrDUk5TmRwQ9bsvP5fYqsnfau2,11455,"coal, eskom, power, sa, mantashe, clean, war, pits",8,1,41
2. Low Score,ZdacscljhvYYCNJC5WbJMTLMqKw1,11455,"coal, eskom, power, sa, mantashe, clean, war, pits",8,1,5
1. Very Low Score,xOkGWiMXcWTuByVJy4TRDEnRwSn2,9991,"prince philip, court, rules, remain, sealed, years",1,1,199
1. Very Low Score,qJMNnSq8QVZ3oMFwGHqrihoG3hW2,9488,"rugby championship, live, wallabies, v, springboks",1,1,900
1. Very Low Score,F4A6g6MIWrMBJTx9tEfX5zbEa1H3,10941,"trump, book, music, man, calm, rages, new, reveals",2,1,170
2. Low Score,bmA87EDpfDh5OA6qE8OWyWKccOh1,10995,"mega, grenadier, suv, en, route, sa, ineos, support",1,3,44.33
2. Low Score,ifu7RmV845Qpl3Tguq5fYANxKs62,9564,"sa, boost, debt, eskom, time, key, record, africans",39,1,38
2. Low Score,fUf6cA0OZbhn3WxN7BE7pssmY6x1,9564,"sa, boost, debt, eskom, time, key, record, africans",39,1,0
4. Good User,hCWForh3EDNVcCJhFdfi0GhICkz1,9564,"sa, boost, debt, eskom, time, key, record, africans",39,1,470
1. Very Low Score,orpYn9XOwEMQKMMVa9JxVV1yowv2,9564,"sa, boost, debt, eskom, time, key, record, africans",39,1,9
2. Low Score,BoqzAe2t4VVmQtq672u7CdmaAxE2,9564,"sa, boost, debt, eskom, time, key, record, africans",39,2,451.5
2. Low Score,Lq9U46f85VXNJdoo2HV9E2MWvYq2,9564,"sa, boost, debt, eskom, time, key, record, africans",39,1,589
2. Low Score,IUt3qAsMrLSSnhAKfFJXSulDqB13,9564,"sa, boost, debt, eskom, time, key, record, africans",39,2,169.5
1. Very Low Score,nBqavDawcsbqY6VcAeo2lXegVSr2,10708,"sa, nersa, eskom, govt, needs, china, plan, opinion",39,1,900
1. Very Low Score,9JxAbc1bTkV9PrJld0dUbuQrCuu2,10708,"sa, nersa, eskom, govt, needs, china, plan, opinion",39,2,900
2. Low Score,796r0ZOPioNYWYAZCdH4HLZ1XVs1,10708,"sa, nersa, eskom, govt, needs, china, plan, opinion",39,1,900
2. Low Score,Q7zyjzyRpxduGZ8ij41TlC1M9Gz2,8981,"new, suv, driven, hyundai, renault, kiger, sa, pulls",7,1,55
2. Low Score,omCQ4gMTmQfv1JpjbO9Do17bbTc2,11291,"season, life, new, book, wins, memoir, local, artist",83,1,4
3. Normal User,SL45qAJxknOFhNj8PqSWKC57pzw1,11291,"season, life, new, book, wins, memoir, local, artist",83,1,900
2. Low Score,eRvMyfl0yyd8S4bFg4kxaruwy802,11291,"season, life, new, book, wins, memoir, local, artist",83,1,900
2. Low Score,1Ikg2NK9cIdpcns25tESB4Xw7Qx1,9877,"watch, finally, available, netflix, film, schumacher",2,1,77
3. Normal User,pVvEoFoDWUWou1ue1Fmzf5y7xgf2,10713,"child, women, abortion, new, life, kids, love, school",35,1,323
4. Good User,bsHwnCrGrOV3zjjn4kisxrEcqRy1,10713,"child, women, abortion, new, life, kids, love, school",35,1,900
2. Low Score,0G2ap52lTsNTP3trbIc7kmWOxlx2,10713,"child, women, abortion, new, life, kids, love, school",35,1,900
2. Low Score,puoGOuSlOnMtN0ibW6Moeuarh6p2,10713,"child, women, abortion, new, life, kids, love, school",35,1,210
2. Low Score,t5UQeNCynxViPtg0bBbXkV7mqm53,11471,"f1, figures, named, new, tax, avoidance, leak, report",1,1,66
1. Very Low Score,lGkJUk26jZdlKX9SVtZFtZq928y1,10018,"jayz, company, ready, rock, mzansi, sundowns, signing",1,1,0
2. Low Score,GhgnHW6jNjfyuc4KGHhZlslKpDo1,4552,"lived, life, zimbabweans, sa, face, uncertain, future",1,1,64
1. Very Low Score,SPlYvhaVVZY2a20Ce4DE0SmqbvQ2,8346,"new, going, read, sex, women, white, lotus, beautiful",41,1,225
1. Very Low Score,jKLNG0ewyfaWyxOpsnpEvlXelzH2,10117,"sa, jobs, lost, tourism, govt, needs, sector, nigeria",15,1,900
1. Very Low Score,y7XI7i2OgPZv8eEDcIq8EWe84l92,10499,"toe, khehla sitole, pick, battles, mcbride, goes, cop",1,2,504.5
2. Low Score,HaCluLXvY7RcI6fU6dpPkAz64Qd2,10796,"danish, man, found, buried, treasure, iron, age, metal",1,1,139
2. Low Score,iJLcVfHLW5PLCWfCFl8NFBVoqm43,9515,"magashule, foundation, mum, students, stranded, turkey",1,1,631
2. Low Score,m7zfzp43beVHg0IAJUAhUBU5Toz2,11395,"study, tips, stress, help, exam, exams, teen, children",36,1,25
2. Low Score,gL7JxfMcsbdw3qGAh0XtgL1R0Hg1,10463,"certified, big, brother, bromance, drake, damien, hirst",1,1,900
1. Very Low Score,wlqyrzqvxiXHxA9SWPf6QnbSDON2,9029,"chicken, covid19, sa, opinion, shop, profit, owner, yum",29,1,9
1. Very Low Score,M0Q9xkPtA2bmIA3qDrG96HR6I0C2,9029,"chicken, covid19, sa, opinion, shop, profit, owner, yum",29,2,56.5
1. Very Low Score,RmZDU06FdVb0kiT0AaJg2cO7iYc2,10686,"covid19, wave, vaccines, us, fourth, sa, older, persons",47,1,115
2. Low Score,A5Li4zs6G6QRU6yqwXsep0x2LWE3,10686,"covid19, wave, vaccines, us, fourth, sa, older, persons",47,1,360
2. Low Score,7LokhliDgMU0AnuA6ljLbOC5WpJ2,9557,"fnb, ceo, personal, loan, life, connect, ranks, highest",5,1,900
2. Low Score,KytMvHXsTYY9jisfUHI6P1TCq4k2,9352,"food, poverty, line, money, need, survive, sa, stats sa",3,1,900
2. Low Score,4a8vYYEB4NcTbHGFdu6xowIp30k1,10736,"sa, sharks, bulls, munster, stormers, player, jake, cap",19,2,132
2. Low Score,Ijz5NNVC8BfRfpnjzqKsVhcIJdG2,11280,"sa, women, ramaphosa, business, govt, ceo, jobs, crisis",44,1,27
2. Low Score,aajbXJKI2kN7Zza8ZN4XUjT9jrg1,11280,"sa, women, ramaphosa, business, govt, ceo, jobs, crisis",44,1,90
1. Very Low Score,Izpba4QkNXbJkI6AcCEtdhLL8aw2,11280,"sa, women, ramaphosa, business, govt, ceo, jobs, crisis",44,1,52
2. Low Score,J9otgmWM5HYSSlVUnJKVDyqivEA2,11280,"sa, women, ramaphosa, business, govt, ceo, jobs, crisis",44,1,900
2. Low Score,26VRLnLR85RaxgMl1aN2Q4Dy3rM2,11280,"sa, women, ramaphosa, business, govt, ceo, jobs, crisis",44,1,90
4. Good User,HV4lKVkqkHWVkHNoTT4geInbxwQ2,11280,"sa, women, ramaphosa, business, govt, ceo, jobs, crisis",44,1,4
1. Very Low Score,6h2Pd2K9FKfA2C2vys3LsYa55zI2,10146,"sasol, come, emission, target, climate, govt, let, rich",9,1,392
1. Very Low Score,u69oqvTbqCPn0kFh7mCgRj8sov72,262,"man, woman, found, arrested, death, murder, family, body",524,1,43
2. Low Score,2r8i6m4tihXSEvzukF0dGXncESJ3,8260,"money, live, santam, profit, rise, warns, tough, economy",1,1,296
1. Very Low Score,qDTIqFGeXnXDSDwqEAdjULkrHjA2,8260,"money, live, santam, profit, rise, warns, tough, economy",1,1,97
1. Very Low Score,1W7Hry0S95bVMsyHFF4If5XBdfw2,8260,"money, live, santam, profit, rise, warns, tough, economy",1,1,900
1. Very Low Score,Eblkh4cxabWMxpY1OX5l9hRgdje2,10869,"new bakkies, lifestyle, business, mahindra, launches, sa",1,1,125
2. Low Score,Tudaq4JJn5eXfSlJcMiKoHrMQII3,10868,"banking, future, fraud, takes, debit, card, listen, smart",14,1,1
2. Low Score,bjkAtg5cVgf9bkU1Vc5Up9Xf0m13,9531,"family, covid, industry, sons, sea, gangs, london, hailed",30,2,48
2. Low Score,4Xm8qVLTO0PB4neGi2g9t9LBTNf1,10692,"man, murder, police, arrested, court, shooting, taxi, kzn",75,2,182.5
2. Low Score,lJOGAEBWG3MTbL6FMKuv0BfS4EI3,10692,"man, murder, police, arrested, court, shooting, taxi, kzn",75,1,91
1. Very Low Score,UBPUXFSu3ZbazNbRIM3zsRXY6rk1,10692,"man, murder, police, arrested, court, shooting, taxi, kzn",75,1,23
2. Low Score,WMRMWTcAh6Prh5JEj7nGC9bFkQw2,10692,"man, murder, police, arrested, court, shooting, taxi, kzn",75,1,22
2. Low Score,u4CmjM1TOicKgvxk2maMwPp1Tqz2,10692,"man, murder, police, arrested, court, shooting, taxi, kzn",75,1,7
2. Low Score,u43gWsytV4RNgMDOHeDID6c7LTJ2,10186,"sa, uk, travel, us, travel restrictions, lift, time, know",11,1,52
1. Very Low Score,EtjIKRmaPzfs4giZZngmRU10uVt1,10186,"sa, uk, travel, us, travel restrictions, lift, time, know",11,1,17
1. Very Low Score,0ADHRq8OxJNdUxftB0QsAfdQno32,10186,"sa, uk, travel, us, travel restrictions, lift, time, know",11,1,215
1. Very Low Score,iEdDATSYQrXIGsUnEfMK5i6DndN2,10109,"bakkie, driven, swansong, trip, current, ranger, ford, new",4,1,2
1. Very Low Score,pHn0tDybZwPbGEZHye1eqdIFgV82,9160,"court, eskom files, slush, fund, limpopo, mec, case, takes",5,1,0
1. Very Low Score,lFyzMjuf8KV9Zf4pxyiFgpXVnsJ2,10751,"killed, crashes, crash, injured, people, death, kzn, roads",7,2,0
2. Low Score,u9yA5Ifv0Ga4RzXSRuOygriy8lu1,10751,"killed, crashes, crash, injured, people, death, kzn, roads",7,1,58
2. Low Score,9clD3bv1JnSiKn62WXMlDgcPUkz1,10751,"killed, crashes, crash, injured, people, death, kzn, roads",7,1,57
1. Very Low Score,yy1AOTRC1VQZ47pjcdTH4BKZZs82,10127,"woman, years, dad, raping, grooming, daughter, outcry, man",7,1,19
4. Good User,GAonyAOrx4VizOQIs3fvTnzX3zC2,10584,"podcast, story, school, david, mackenzie, boys, water, polo",4,1,1
5. Super User,XLz8ZRmbSdVhXUMrRhM2gaqbyDB3,10584,"podcast, story, school, david, mackenzie, boys, water, polo",4,1,6
1. Very Low Score,rFZ3NPJBNmTfiAKB0ZSmg27UbPn2,9532,"police, man, cape town, kzn, killed, murder, found, robbery",81,1,196
1. Very Low Score,z1rie7z3MeUdYnwHGTCCnRhm3Wp1,23,"sharks, bulls, lions, stormers, bok, coach, rainbow cup, sa",362,1,13
1. Very Low Score,Hg8VlEFkBUZnD6McYXJrKvXiw5h2,9562,"uk, sa, red list, mauritius, ends, ban, travellers, flights",6,4,0.25
1. Very Low Score,u86R5fQQzjXxpTgNpztcmqxPU5z2,10103,"bride, groom, refuse, let, photographer, break, eat, deletes",1,1,2
1. Very Low Score,0mEasLvkn2MiJiC8jjk5oORhwFj2,10110,"covid19, vaccine, pfizer, vaccination, us, people, shots, sa",40,1,37
2. Low Score,In8WQ2BLvgZSSpuJ18N5jbCZpD22,10217,"killed, sources, mali, people, injured, grenade, attack, bar",6,2,35
1. Very Low Score,yEABMq7D9rPd61lpIxlraLJJdYl2,10002,"new zealand, children, sa, mother, found, dead, new, zealand",8,3,122
1. Very Low Score,WL5azQEGj9RMvN5dXxsIYKMDLxH3,10002,"new zealand, children, sa, mother, found, dead, new, zealand",8,1,900
2. Low Score,NThEEgAob3cjN55eht9jIoJ0JZG3,10002,"new zealand, children, sa, mother, found, dead, new, zealand",8,1,11
1. Very Low Score,dEMCAjXzaaWMP3w3EhZYhcWM8wu2,10002,"new zealand, children, sa, mother, found, dead, new, zealand",8,2,75
1. Very Low Score,XPPCEXQQtTV0jP1fINmdd4o1lOz2,10002,"new zealand, children, sa, mother, found, dead, new, zealand",8,1,1
1. Very Low Score,2JJAOJhLMNMJg192S4r2Xx8FuGk1,11237,"plane crashes, small, building, outside, milan, onboard, die",1,1,0
2. Low Score,XwmZVVXDywM7VsCvbBa1STNHW202,11374,"unmarried, father, register, child, surname, mother, consent",1,1,19
4. Good User,AXgYfMfLn4U94JmcSQ8o3kaa4cm2,10116,"blacks, bok, boks, springboks, test, nienaber, black, players",37,1,0
1. Very Low Score,xIGM640RELfBDCVjeWlr0bYgN9l1,8963,"man, police, pietermaritzburg, woman, dead, kzn, found, court",96,1,2
2. Low Score,ymdbFLIKQZg7E28D91D67D6eyDg1,10141,"mom, life, shares, child, family, years, marriage, postpartum",56,2,1
1. Very Low Score,9iEdOgAmnDOsQRxcd2RDcg5Ojk33,10141,"mom, life, shares, child, family, years, marriage, postpartum",56,1,9
4. Good User,WRalAmNzDGbcinzGtREyqCXbOUC2,10141,"mom, life, shares, child, family, years, marriage, postpartum",56,1,27
2. Low Score,zU4lER4D1ySX1O45GFf6Ka2QzWF3,10162,"opinion, children, women, health, killed, parents, law, youth",29,1,22
2. Low Score,q0eZ0CSBYxev49eOwIe4DrVbPe92,6757,"sa, junk status, godongwana, help, debt, cities, cliff, moody",7,1,56
4. Good User,jH9CLIJjnzUDjmNDUYuZTgtk9Bl2,9613,"alleged, arrested, case, bail, application, court, kzn, seizes",13,1,3
2. Low Score,uAUXKmbNdvXm1KzWUnQWYnYB9It2,10745,"level, lockdown, ramaphosa, sa, moves, alert, govt, gatherings",14,1,234
