e7segment,cluster_id,num_users,num_reads,total_duration,avg_reads,avg_duration
2. Low Score,8570,31,52,7921,1.68,255.52
3. Normal User,1007,25,42,7121,1.68,284.84
3. Normal User,7836,6,10,1948,1.67,324.67
3. Normal User,13,218,364,71133,1.67,326.3
0. No activity for 3 weeks,8938,66,110,24217,1.67,366.92
1. Very Low Score,9106,18,30,3314,1.67,184.11
2. Low Score,9407,12,20,3820,1.67,318.33
2. Low Score,9522,2352,3933,947434,1.67,402.82
2. Low Score,8576,15,25,568,1.67,37.87
4. Good User,10281,24,40,5798,1.67,241.58
3. Normal User,10200,3958,6610,1198148,1.67,302.72
4. Good User,10352,63,105,10097,1.67,160.27
3. Normal User,8821,4535,7585,1597524,1.67,352.27
3. Normal User,10736,2188,3649,664590,1.67,303.74
4. Good User,10754,27,45,4598,1.67,170.3
4. Good User,9044,42,70,7503,1.67,178.64
0. No activity for 3 weeks,8352,15,25,3524,1.67,234.93
3. Normal User,3247,12,20,3973,1.67,331.08
2. Low Score,5098,6,10,1762,1.67,293.67
1. Very Low Score,3498,6,10,2038,1.67,339.67
3. Normal User,6274,21,35,9777,1.67,465.57
2. Low Score,8547,33,55,5604,1.67,169.82
1. Very Low Score,6839,6,10,1753,1.67,292.17
3. Normal User,6790,15,25,3516,1.67,234.4
4. Good User,10801,6,10,1616,1.67,269.33
2. Low Score,10286,6,10,572,1.67,95.33
4. Good User,8549,29,48,8508,1.66,293.38
2. Low Score,6490,35,58,18828,1.66,537.94
3. Normal User,2970,34,56,11570,1.65,340.29
1. Very Low Score,9541,385,636,135556,1.65,352.09
2. Low Score,8915,17,28,2146,1.65,126.24
2. Low Score,9970,31,51,7300,1.65,235.48
4. Good User,9916,20,33,5569,1.65,278.45
4. Good User,10243,20,33,4736,1.65,236.8
4. Good User,9655,69,114,17859,1.65,258.83
3. Normal User,2697,20,33,2078,1.65,103.9
2. Low Score,5010,26,43,9225,1.65,354.81
4. Good User,10214,17,28,2579,1.65,151.71
2. Low Score,8516,17,28,2576,1.65,151.53
3. Normal User,8966,2226,3650,525642,1.64,236.14
3. Normal User,8346,2737,4493,654167,1.64,239.01
2. Low Score,9074,324,530,49813,1.64,153.74
2. Low Score,137,125,205,54398,1.64,435.18
3. Normal User,8382,2506,4122,521800,1.64,208.22
4. Good User,9704,42,69,6623,1.64,157.69
2. Low Score,9657,11,18,1615,1.64,146.82
3. Normal User,482,95,156,30141,1.64,317.27
2. Low Score,9107,14,23,2483,1.64,177.36
4. Good User,10163,56,92,7275,1.64,129.91
2. Low Score,30,83,136,25757,1.64,310.33
2. Low Score,5185,28,46,7614,1.64,271.93
4. Good User,10135,25,41,5327,1.64,213.08
4. Good User,10672,64,105,8044,1.64,125.69
2. Low Score,8405,25,41,3070,1.64,122.8
2. Low Score,7094,22,36,8788,1.64,399.45
3. Normal User,5581,11,18,3205,1.64,291.36
2. Low Score,7492,11,18,1343,1.64,122.09
1. Very Low Score,562,14,23,4624,1.64,330.29
2. Low Score,70,41,67,10196,1.63,248.68
3. Normal User,8375,4158,6770,1470552,1.63,353.67
2. Low Score,8775,16,26,2842,1.63,177.63
3. Normal User,9589,3636,5909,792695,1.63,218.01
2. Low Score,9615,8,13,144,1.63,18.0
2. Low Score,9543,433,704,98910,1.63,228.43
2. Low Score,9550,56,91,9905,1.63,176.88
3. Normal User,8494,3594,5860,730051,1.63,203.13
2. Low Score,87,32,52,7147,1.63,223.34
2. Low Score,3569,30,49,11394,1.63,379.8
1. Very Low Score,111,19,31,3331,1.63,175.32
2. Low Score,10386,8,13,1372,1.63,171.5
2. Low Score,9536,8,13,192,1.63,24.0
4. Good User,9998,8,13,2207,1.63,275.88
4. Good User,8426,8,13,2612,1.63,326.5
0. No activity for 3 weeks,9076,8,13,2988,1.63,373.5
4. Good User,9101,52,84,12566,1.62,241.65
1. Very Low Score,8938,363,588,114321,1.62,314.93
1. Very Low Score,8993,722,1172,269477,1.62,373.24
